R,A,CC,VC
2.13,78.62,20,7
2.8,39.54,19,7
3.85,65.0,15,5
4.36,84.82,17,5
2.43,63.33,18,4
3.13,54.83,20,4
2.93,86.85,14,6
4.9,58.54,15,4
2.3,69.09,16,4
2.99,45.25,10,4
5.67,40.67,13,5
3.16,81.2,17,6
2.49,44.46,22,6
3.71,74.46,19,6
3.9,39.1,12,5
2.77,66.37,22,9
4.59,75.25,13,4
5.03,89.53,13,5
2.73,57.49,16,6
3.96,77.03,18,7
5.76,36.04,12,4
3.25,85.83,22,4
2.57,32.33,16,5
3.46,62.32,20,5
3.04,71.12,18,7
6.63,59.56,10,4
2.33,47.04,21,7
4.67,87.5,13,5
4.81,46.6,14,5
4.12,67.75,11,4
3.6,43.69,17,5
2.69,73.7,20,5
3.4,51.96,18,6
2.85,76.59,12,4
2.17,37.75,14,4
4.52,32.43,14,5
2.14,73.01,16,7
2.88,48.81,22,8
3.6,57.86,18,5
2.38,87.83,21,5
3.09,33.99,17,4
2.19,55.72,15,6
4.89,30.28,12,4
5.01,71.89,15,6
2.33,82.08,12,4
3.05,43.59,14,5
3.24,68.09,20,6
2.5,46.23,19,5
4.48,38.11,17,6
3.92,52.06,16,4
2.74,83.38,18,8
2.02,30.94,21,9
5.09,61.63,10,4
2.06,84.96,13,5
2.79,33.22,13,6
3.33,65.34,19,5
2.58,56.49,20,4
3.49,86.51,17,4
3.01,80.52,21,7
2.28,41.31,18,8
4.75,63.2,16,6
4.78,44.57,11,4
2.22,60.88,22,8
4.06,81.07,14,4
3.52,45.61,20,6
2.41,35.79,16,7
2.63,75.59,17,6
3.36,38.73,21,5
5.83,79.39,12,5
2.84,74.58,15,4
2.09,51.09,11,5
3.38,87.35,17,7
6.34,38.85,10,4
2.63,34.55,21,8
5.46,68.87,13,4
3.15,40.91,16,6
3.53,64.56,18,7
6.14,45.5,12,4
2.97,72.63,22,5
2.24,49.26,17,4
2.27,82.89,20,6
3.02,31.5,18,5
3.18,66.81,11,4
2.46,58.79,14,5
4.44,36.81,15,4
2.59,67.71,18,8
3.7,88.78,10,4
3.89,52.9,17,6
2.01,80.14,18,5
2.75,41.76,20,4
5.92,76.37,11,4
3.27,69.69,14,5
2.51,64.85,19,7
3.22,57.05,19,8
3.42,78.41,14,6
3.57,59.31,13,4
3.1,75.22,21,8
4.3,66.28,13,4
2.68,89.31,16,4
2.87,60.4,16,6
2.15,54.0,22,5
3.82,70.02,17,5
3.39,62.9,21,8
2.7,55.22,18,7
4.33,80.27,16,5
2.39,71.64,14,6
3.07,50.25,12,5
2.91,78.07,19,4
2.2,40.05,20,4
2.35,65.94,17,6
3.03,59.67,21,6
3.22,83.88,15,5
2.51,30.5,10,4
2.56,80.65,22,9
3.78,60.52,14,4
2.04,45.79,15,7
2.08,70.57,21,4
2.76,47.55,17,4
3.73,55.37,19,8
2.61,42.75,15,6
5.26,51.31,12,4
4.19,49.16,14,6
2.47,85.4,16,7
3.17,32.72,22,7
3.5,72.77,11,5
4.03,40.55,18,4
3.53,31.4,16,5
2.44,52.47,21,9
4.24,83.02,10,4
2.67,61.38,13,4
3.34,53.0,13,4
2.81,88.44,20,6
2.12,37.17,19,6
2.82,46.05,13,6
3.34,82.27,19,4
2.66,43.3,19,4
4.23,52.29,16,5
4.09,38.36,16,5
2.95,67.09,18,7
2.25,58.48,20,7
4.73,58.1,14,4
2.99,40.73,22,9
4.03,63.79,12,5
3.51,32.67,18,6
3.17,72.83,16,7
2.6,62.64,21,6
3.31,55.44,18,6
2.76,88.12,11,4
2.08,33.8,15,4
4.64,45.85,12,5
2.04,89.59,22,7
3.93,68.53,14,6
2.52,74.77,17,4
