SampleRow,R,A,CC,VC,Violates_C1,Violates_C2
1,2.13,78.62,20,7,True,False
2,2.8,39.54,19,7,True,False
5,2.43,63.33,18,4,True,False
7,2.93,86.85,14,6,True,False
9,2.3,69.09,16,4,True,False
10,2.99,45.25,10,4,True,False
12,3.16,81.2,17,6,True,False
13,2.49,44.46,22,6,True,False
15,3.9,39.1,12,5,True,False
19,2.73,57.49,16,6,True,False
23,2.57,32.33,16,5,True,False
25,3.04,71.12,18,7,True,False
27,2.33,47.04,21,7,True,False
30,4.12,67.75,11,4,True,False
32,2.69,73.7,20,5,True,False
34,2.85,76.59,12,4,True,False
35,2.17,37.75,14,4,True,False
37,2.14,73.01,16,7,True,False
40,2.38,87.83,21,5,True,False
41,3.09,33.99,17,4,True,False
42,2.19,55.72,15,6,True,False
45,2.33,82.08,12,4,True,False
46,3.05,43.59,14,5,True,False
48,2.5,46.23,19,5,True,False
51,2.74,83.38,18,8,True,False
52,2.02,30.94,21,9,True,False
53,5.09,61.63,10,4,True,False
54,2.06,84.96,13,5,True,False
55,2.79,33.22,13,6,True,False
57,2.58,56.49,20,4,True,False
60,2.28,41.31,18,8,True,False
62,4.78,44.57,11,4,True,False
63,2.22,60.88,22,8,True,False
66,2.41,35.79,16,7,True,False
67,2.63,75.59,17,6,True,False
70,2.84,74.58,15,4,True,False
71,2.09,51.09,11,5,True,False
76,3.15,40.91,16,6,True,False
80,2.24,49.26,17,4,True,False
81,2.27,82.89,20,6,True,False
82,3.02,31.5,18,5,True,False
83,3.18,66.81,11,4,True,False
84,2.46,58.79,14,5,True,False
86,2.59,67.71,18,8,True,False
87,3.7,88.78,10,4,True,False
89,2.01,80.14,18,5,True,False
92,3.27,69.69,14,5,True,False
93,2.51,64.85,19,7,True,False
95,3.42,78.41,14,6,True,False
96,3.57,59.31,13,4,True,False
99,2.68,89.31,16,4,True,False
100,2.87,60.4,16,6,True,False
101,2.15,54.0,22,5,True,False
104,2.7,55.22,18,7,True,False
106,2.39,71.64,14,6,True,False
107,3.07,50.25,12,5,True,False
109,2.2,40.05,20,4,True,False
