R,A,CC,VC
3.41,47.51,8,9
4.51,31.01,14,4
3.74,70.78,12,7
2.72,42.38,22,9
3.14,82.71,17,8
5.02,58.63,7,6
2.89,34.81,5,6
2.46,75.15,10,6
6.52,68.76,8,4
4.24,86.31,6,9
2.39,55.06,17,4
4.6,72.18,5,7
3.58,39.66,15,5
2.3,89.32,19,6
4.18,54.33,11,8
2.55,50.46,6,5
2.97,60.8,12,4
6.24,84.05,4,6
5.09,85.73,9,5
2.82,68.23,13,9
3.81,43.58,5,4
2.03,32.21,12,7
3.31,81.88,8,9
3.33,30.05,19,4
2.06,79.7,14,5
6.43,36.45,4,5
2.79,59.59,11,7
3.22,69.94,7,5
6.0,78.67,8,4
5.32,76.12,4,7
3.05,52.04,13,9
2.62,62.38,18,8
4.05,33.96,9,6
4.2,73.76,17,4
2.22,37.62,8,9
4.74,88.47,14,6
3.64,53.37,4,8
2.36,73.03,9,8
3.94,61.65,7,5
2.49,36.97,18,10
2.92,77.32,22,9
5.21,49.49,12,4
3.07,44.42,10,5
2.64,84.77,5,4
4.48,80.9,11,7
2.21,45.94,21,5
3.48,65.59,16,6
3.46,42.14,6,10
2.18,84.35,11,10
3.79,80.5,5,5
2.67,48.21,15,7
3.09,66.0,20,8
5.07,30.78,10,6
6.04,31.92,6,4
2.94,55.77,12,6
2.52,73.56,8,7
2.33,34.58,19,5
3.61,76.79,14,4
2.25,61.03,17,6
4.23,37.19,8,8
6.62,47.8,6,5
2.6,40.83,9,4
3.03,88.62,4,5
5.15,64.86,7,4
3.19,33.39,16,9
2.77,81.18,20,10
3.87,45.13,12,5
4.38,85.02,15,6
2.08,56.26,6,8
3.36,68.47,10,7
3.28,58.42,17,5
2.0,70.65,21,4
3.84,67.02,14,8
6.37,53.2,11,4
2.84,31.7,4,6
3.27,79.47,9,7
5.95,72.85,6,5
7.21,80.73,4,4
3.0,39.25,21,7
2.57,87.03,15,8
4.1,54.75,7,6
2.28,50.86,10,10
3.55,63.09,6,9
4.57,35.6,14,4
3.69,36.28,11,8
2.42,78.5,6,7
4.26,49.72,16,6
3.99,89.63,9,4
2.43,53.61,20,9
2.86,71.39,15,10
5.26,39.93,5,5
3.12,46.17,7,4
2.69,63.94,12,4
2.16,43.71,14,7
3.43,85.94,19,6
4.97,62.7,5,6
3.42,34.05,13,7
2.14,76.27,18,8
4.55,52.42,9,6
3.71,87.65,17,5
2.7,56.07,8,10
3.13,73.86,12,9
2.88,48.62,19,4
2.45,66.41,14,4
3.98,30.37,5,9
6.79,49.87,4,4
2.4,41.5,12,6
3.68,83.7,7,7
5.52,60.21,9,5
5.44,35.4,8,5
3.56,56.91,10,4
2.29,69.12,5,5
2.56,32.98,21,7
2.99,80.77,16,6
3.26,40.54,4,8
2.83,88.32,9,7
4.39,76.94,7,4
2.02,49.34,17,9
4.82,36.66,12,5
3.37,51.51,5,6
2.1,63.73,10,7
3.88,74.87,6,10
2.76,38.84,16,5
3.18,86.62,21,4
3.01,31.41,9,10
2.59,79.18,4,9
4.03,47.6,14,4
4.22,82.8,12,5
2.26,58.95,22,7
3.54,71.17,18,8
4.64,42.51,7,6
4.72,68.1,9,4
2.32,85.41,13,10
4.3,57.81,4,5
2.53,46.46,13,8
2.95,64.24,8,7
3.1,54.02,14,7
2.68,71.8,19,6
3.78,39.52,10,8
2.17,35.63,7,4
3.45,77.86,11,5
5.75,69.82,4,6
3.47,54.42,20,8
2.2,74.09,16,8
4.49,39.1,7,6
3.76,62.94,19,4
2.65,35.22,10,9
3.08,75.56,5,10
2.93,42.67,17,4
2.5,83.0,22,5
2.35,46.98,4,6
3.62,66.65,9,5
5.57,88.5,6,4
3.51,32.74,8,5
2.24,82.41,12,4
4.06,86.02,4,7
2.61,57.61,14,5
3.04,67.94,19,7
3.21,50.05,11,8
2.78,60.39,6,9
3.91,36.43,16,7
4.34,71.54,10,5
2.07,40.3,20,10
3.34,89.97,15,9
4.77,53.69,5,4
5.69,46.75,5,5
3.32,38.14,12,6
2.04,87.79,7,5
3.83,76.41,9,9
2.81,51.74,19,4
3.23,62.09,14,5
2.96,59.18,6,9
2.54,69.53,11,10
4.16,65.67,5,7
2.31,30.7,15,9
3.59,80.35,20,7
4.58,47.84,10,6
4.67,81.55,7,4
2.37,64.94,21,9
4.25,33.71,11,4
4.0,68.8,14,6
2.48,44.83,6,8
2.9,85.18,10,9
3.16,37.27,21,6
2.74,77.62,17,6
3.73,49.19,8,8
2.11,52.85,9,5
3.39,72.5,4,4
2.11,88.84,17,4
3.74,77.71,19,7
6.27,42.31,6,4
2.74,49.04,9,6
3.17,61.27,4,6
5.27,85.26,6,6
2.89,56.49,16,7
2.46,68.71,21,9
4.0,44.97,11,7
4.25,65.08,15,5
2.38,33.63,5,10
3.65,81.41,10,9
3.58,47.98,7,9
2.31,65.76,11,8
4.1,69.39,6,4
2.54,41.9,14,9
2.97,84.12,19,10
5.37,59.1,10,4
5.97,57.95,5,6
3.23,34.34,13,4
2.8,76.57,8,5
4.43,87.7,9,8
2.05,55.54,18,6
3.32,73.32,14,6
4.85,37.99,4,7
3.35,53.84,12,10
2.07,71.63,7,9
4.35,40.15,16,4
3.9,60.24,10,6
2.77,36.52,19,8
3.2,78.72,15,8
5.18,49.96,5,7
6.15,52.1,10,4
3.04,43.95,8,5
2.62,86.17,13,6
6.58,62.44,5,4
2.23,46.39,13,5
3.51,64.18,18,4
3.63,31.46,17,7
2.35,79.24,22,5
4.34,47.07,12,7
2.5,58.2,4,4
2.92,70.41,8,5
5.04,75.65,11,4
3.08,50.63,21,9
2.66,62.84,16,10
3.76,35.37,6,5
2.19,39.01,10,8
3.47,86.8,5,8
3.43,50.22,15,4
2.16,60.57,20,5
2.68,39.43,6,7
3.11,89.08,11,6
5.9,66.05,4,4
2.95,31.99,18,8
2.52,81.64,14,7
3.94,46.55,4,5
2.33,57.66,12,10
3.6,68.01,7,10
3.53,42.6,9,7
2.26,82.95,4,8
4.21,58.86,13,6
4.04,79.09,13,5
2.59,47.75,22,10
3.02,67.4,17,10
5.32,31.25,8,4
3.17,55.31,6,5
2.75,74.96,10,4
4.37,63.59,7,8
2.11,35.04,16,6
3.38,75.39,21,7
4.82,61.41,13,4
3.3,36.75,5,9
2.02,77.08,9,10
3.85,88.24,8,6
2.83,53.13,17,8
3.25,72.8,22,7
7.5,47.24,5,4
6.2,39.18,7,5
2.99,45.7,10,7
2.57,65.36,5,6
2.28,44.19,20,4
3.56,84.53,16,4
2.41,70.17,15,7
4.28,41.64,5,9
2.44,30.28,11,4
2.87,79.95,6,4
4.99,74.0,4,5
3.14,37.84,14,10
2.72,87.51,19,9
3.71,56.15,8,4
2.13,52.28,7,7
3.41,62.61,12,8
5.8,33.99,10,5
3.43,57.37,8,7
2.15,67.71,13,6
7.07,76.21,5,4
3.72,63.86,4,9
2.7,32.51,14,4
3.12,82.16,18,5
2.85,40.08,11,9
2.43,89.73,7,10
3.98,53.46,15,5
4.27,78.35,10,6
2.42,49.81,20,8
3.7,60.16,14,7
4.69,36.18,6,6
4.56,63.18,11,5
2.27,75.8,16,9
4.14,51.01,6,4
2.58,54.66,9,7
3.0,74.31,5,8
3.26,47.22,18,6
2.84,66.88,22,7
2.01,42.9,4,4
3.29,83.25,9,4
5.7,61.62,7,5
4.81,68.56,6,6
3.36,44.6,16,8
2.09,84.94,21,7
8.02,35.02,4,4
4.39,56.41,11,5
3.87,81.32,15,4
2.76,45.05,5,10
3.19,64.72,10,10
3.03,52.6,22,4
2.61,72.27,17,5
2.25,37.04,8,7
3.52,77.38,4,6
5.46,71.23,11,4
5.6,43.13,5,6
3.62,51.99,13,5
2.34,62.32,8,4
3.96,73.47,9,8
2.51,38.37,18,6
2.93,88.04,13,7
3.1,30.93,7,7
2.67,80.59,12,8
4.44,84.2,6,5
2.18,59.42,15,10
4.87,42.05,10,4
5.74,54.49,8,4
3.48,33.22,10,5
2.2,81.0,6,7
2.65,57.13,20,5
3.07,69.36,16,4
5.2,77.18,13,5
2.91,49.57,4,10
2.48,61.8,9,9
3.93,36.89,18,4
4.32,72.94,8,6
2.37,40.78,17,8
4.62,87.41,4,4
3.49,55.84,14,9
2.21,73.61,18,10
4.2,37.7,9,5
2.64,33.81,7,8
3.06,76.04,12,8
3.21,41.25,20,6
2.79,83.47,15,5
3.89,59.74,5,7
2.06,48.39,11,4
3.34,66.17,6,5
4.87,82.03,8,6
3.31,46.69,19,8
2.04,64.48,14,9
4.44,32.3,4,7
2.81,43.43,12,10
3.24,85.64,8,9
2.98,35.87,15,5
2.55,78.08,20,4
6.69,30.63,9,4
2.3,54.25,6,6
3.57,72.04,11,6
5.41,80.3,4,5
3.67,38.6,5,4
2.4,86.39,11,5
4.01,75.01,7,8
2.45,51.28,16,6
2.88,63.49,20,6
3.15,58.72,9,9
2.73,70.93,5,7
3.75,42.29,13,6
4.5,67.08,12,4
2.12,31.16,22,9
4.93,47.36,8,5
3.4,31.0,6,8
2.12,78.77,10,8
3.75,82.63,7,4
2.73,58.66,16,9
5.03,42.34,11,5
6.1,44.95,6,6
2.88,51.1,9,4
2.46,63.32,4,5
2.39,38.55,22,6
3.67,86.32,17,5
4.67,54.99,8,7
3.57,54.31,18,5
2.3,72.09,14,4
6.67,59.06,5,4
2.56,36.04,12,5
2.98,78.27,7,6
6.24,69.41,10,4
5.09,68.27,5,6
3.24,43.48,15,8
2.81,85.7,20,8
3.81,57.98,10,7
4.44,81.85,16,5
2.03,46.87,6,10
3.31,64.65,11,9
4.79,79.8,4,8
