R,A,CC,VC
3.4,58.61,18,4
2.13,70.83,14,4
6.25,52.89,5,5
2.73,31.04,13,7
3.15,78.81,8,6
5.83,72.54,10,4
5.28,74.74,6,6
2.88,38.48,14,8
2.45,86.26,19,7
4.01,55.03,10,6
4.24,75.14,15,4
2.4,51.17,7,9
3.67,63.4,11,10
4.59,60.79,15,6
3.57,35.99,5,7
2.3,78.22,10,8
4.08,89.33,6,5
2.55,54.35,16,10
2.98,72.13,21,9
5.35,39.62,11,4
3.24,46.8,9,5
2.81,64.58,4,4
2.04,43.55,22,6
3.31,85.78,18,7
3.34,41.4,10,9
2.06,83.6,5,10
4.36,59.64,15,5
3.89,79.72,11,6
2.79,48.49,21,8
3.21,66.28,16,7
5.17,30.0,6,5
3.06,55.93,4,7
