R,A,CC,VC
4.1,31.01,16,4
3.46,70.78,15,6
2.6,42.38,22,8
2.96,82.71,19,7
4.53,58.63,12,5
2.39,75.15,14,5
5.78,68.76,13,4
3.68,51.2,20,7
2.32,55.06,18,4
3.39,74.73,21,5
3.32,39.66,17,5
2.25,89.32,20,6
2.46,50.46,12,5
2.81,60.8,15,4
4.59,85.73,13,4
3.52,43.58,10,4
2.02,32.21,16,7
3.11,30.05,20,4
2.05,79.7,17,5
3.59,83.57,21,8
5.7,36.45,10,4
2.66,59.59,15,6
3.02,69.94,12,5
5.35,78.67,13,4
2.52,62.38,19,7
3.72,33.96,14,6
3.84,73.76,19,4
4.29,88.47,17,6
3.62,61.65,12,5
2.77,77.32,22,8
4.68,49.49,15,4
2.89,44.42,14,5
2.53,84.77,11,4
2.18,45.94,22,5
3.24,65.59,18,6
2.56,48.21,17,7
2.91,66.0,21,8
4.57,30.78,14,6
5.38,31.92,11,4
2.78,55.77,15,6
3.64,38.22,19,8
2.28,34.58,20,4
3.35,76.79,17,4
3.28,48.82,22,6
2.21,61.03,18,6
3.69,72.42,20,8
2.51,40.83,13,4
4.63,64.86,12,4
2.64,81.18,21,9
3.56,45.13,15,5
3.99,85.02,17,6
3.07,58.42,19,4
2.0,70.65,22,4
3.54,67.02,16,7
4.82,74.46,15,5
6.36,80.73,10,4
2.84,39.25,21,7
2.48,87.03,18,7
3.8,75.89,20,5
4.15,35.6,17,4
3.89,49.72,18,5
3.67,89.63,14,4
2.36,53.61,21,9
5.23,37.79,14,5
2.94,46.17,12,4
2.58,63.94,16,4
3.44,32.37,22,9
2.13,43.71,17,6
3.2,85.94,20,5
3.18,34.05,16,7
2.12,76.27,19,7
3.43,87.65,19,5
2.73,48.62,20,4
2.37,66.41,17,4
6.01,49.87,10,4
2.34,41.5,15,5
4.94,60.21,13,5
4.88,35.4,12,5
3.31,56.91,14,4
2.24,69.12,10,4
2.47,32.98,21,6
2.83,80.77,18,6
4.62,72.71,16,6
3.55,52.99,20,5
4.0,76.94,12,4
2.02,49.34,19,8
3.08,61.55,22,9
4.36,36.66,15,5
4.33,75.25,17,7
2.08,63.73,14,6
2.63,38.84,18,5
2.99,86.62,22,4
3.7,47.6,17,4
3.85,82.8,15,5
2.22,58.95,22,7
3.29,71.17,19,7
4.28,68.1,13,4
2.92,54.02,17,6
2.57,71.8,20,6
2.14,35.63,12,4
3.21,77.86,15,4
4.44,86.95,15,6
3.23,54.42,21,8
2.17,74.09,18,7
3.47,62.94,20,4
2.78,42.67,19,4
2.42,83.0,22,5
3.36,66.65,13,5
4.98,88.5,11,4
3.26,32.74,12,5
2.2,82.41,15,4
2.51,57.61,17,5
2.87,67.94,20,6
3.6,36.43,18,6
3.96,71.54,14,5
2.06,40.3,21,9
4.32,53.69,10,4
3.1,38.14,16,6
2.03,87.79,12,5
2.68,51.74,20,4
3.03,62.09,17,5
3.33,80.35,21,7
4.16,47.84,14,5
4.24,81.55,12,4
2.31,64.94,21,8
3.88,33.71,15,4
3.67,68.8,17,5
2.97,37.27,22,5
2.62,77.62,19,6
2.1,52.85,13,5
3.17,72.5,10,4
3.16,41.07,22,5
2.09,88.84,19,4
3.45,77.71,20,7
5.57,42.31,12,4
2.62,49.04,13,5
2.75,56.49,18,7
2.39,68.71,21,8
3.67,44.97,14,6
3.89,65.08,17,4
4.16,80.26,18,6
3.75,69.39,11,4
4.82,59.1,14,4
